"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"3693","PA4851_26405",0.329,0.465,0.619,2,2,3,0.116,0.42,0.196,1,2,1
"3694","PA4851_26415",0.068,0.437,0.064,1,2,1,0.032,0.293,0.041,1,2,1
"3695","PA4851_26420",0.796,NA,0.91,4,NA,4,0.834,NA,0.91,4,NA,4
"3696","PA4851_26430",1,1,0.671,4,4,3,1,1,0.671,4,4,3
"3697","PA4851_26440",0.875,NA,0.879,4,NA,4,0.093,0.692,0.81,1,3,4
"3698","PA4851_26445",0.715,0.787,0.514,3,4,3,0.231,0.411,0.166,1,2,1
"3699","PA4851_26450",NA,0.277,NA,NA,2,NA,NA,0.296,NA,NA,2,NA
"3700","PA4851_26465",0.218,0.761,0.304,1,4,2,0.044,0.346,NA,1,2,NA
"3701","PA4851_26470",0.153,0.456,0.291,1,2,2,0.198,0.492,0.289,1,2,2
"3702","PA4851_26475",0.17,0.292,0.198,1,2,1,0.19,0.29,0.197,1,2,1
"3703","PA4851_26480",0.169,0.555,0.267,1,3,2,0.096,0.539,0.181,1,3,1
"3704","PA4851_26485",0.013,NA,0.187,1,NA,1,0.086,0.086,0.266,1,1,2
"3705","PA4851_26490",0.759,0.837,0.666,4,4,3,0.297,0.708,0.459,2,3,2
"3706","PA4851_26495",0.114,0.3,0.162,1,2,1,0.114,0.288,0.14,1,2,1
"3707","PA4851_26500",0.182,0.46,0.155,1,2,1,0.625,0.827,0.875,3,4,4
"3708","PA4851_26505",0.068,0.257,0.085,1,2,1,0.184,0.47,0.317,1,2,2
"3709","PA4851_26510",0.321,0.441,0.575,2,2,3,0.245,0.441,0.279,1,2,2
"3710","PA4851_26515",0.899,0.711,0.774,4,3,4,0.916,1,0.838,4,4,4
"3711","PA4851_26535",0.217,0.3,0.094,1,2,1,0.293,0.285,0.105,2,2,1
"3712","PA4851_26545",0.048,0.281,0.034,1,2,1,NA,NA,1,NA,NA,4
"3713","PA4851_26550",0.539,0.711,0.774,3,3,4,NA,1,0.944,NA,4,4
"3714","PA4851_26570",0.309,0.381,0.738,2,2,3,0.363,0.437,0.605,2,2,3
"3715","PA4851_26575",0.16,0.3,0.083,1,2,1,0.228,0.285,0.1,1,2,1
"3716","PA4851_26580",0.681,0.696,0.671,3,3,3,0.185,0.137,0.471,1,1,2
"3717","PA4851_26585",0.134,0.422,NA,1,2,NA,0.746,0.601,NA,3,3,NA
"3718","PA4851_26590",0.41,0.763,0.312,2,4,2,0.259,0.763,0.214,2,4,1
"3719","PA4851_26595",0.342,NA,0.296,2,NA,2,0.392,NA,0.346,2,NA,2
"3720","PA4851_26605",0.177,NA,0.11,1,NA,1,0.311,NA,0.298,2,NA,2
"3721","PA4851_26610",0.473,NA,0.28,2,NA,2,0.306,0.173,0.482,2,1,2
"3722","PA4851_26615",0.286,NA,0.566,2,NA,3,0.214,NA,0.445,1,NA,2
"3723","PA4851_26620",0.256,0.321,NA,2,2,NA,0.205,0.178,NA,1,1,NA
"3724","PA4851_26630",0.086,0.551,NA,1,3,NA,0.474,0.439,NA,2,2,NA
"3725","PA4851_26635",NA,0.153,NA,NA,1,NA,NA,0.164,NA,NA,1,NA
"3726","PA4851_26640",0.491,0.169,0.39,2,1,2,NA,NA,0.108,NA,NA,1
"3727","PA4851_26645",0.41,0.763,0.312,2,4,2,0.259,0.763,0.214,2,4,1
"3728","PA4851_26650",0.275,0.378,0.239,2,2,1,0.014,0.173,0.359,1,1,2
"3729","PA4851_26655",NA,0.428,NA,NA,2,NA,NA,0.178,NA,NA,1,NA
"3730","PA4851_26665",0.726,NA,NA,3,NA,NA,0.436,0.552,0.256,2,3,2
"3731","PA4851_26670",0.42,0.585,0.452,2,3,2,0.255,0.573,0.571,2,3,3
"3732","PA4851_26675",0.437,0.441,NA,2,2,NA,0.07,0.369,NA,1,2,NA
"3733","PA4851_26685",0.049,0.346,0.095,1,2,1,0.048,0.325,0.09,1,2,1
